# L   U       nn         err_nn     var_nn   err_var_nn  R2      err_R2
250   0.5     92.452     0.36E-02   0.70496  0.4E-02     1418.2   0.34
250   0.55    101.77     0.35E-02   0.78503  0.47E-02    1186.5   0.34148
250   0.6     112.04     0.38E-02   0.85316  0.5E-02     956.73   0.21
250   0.62    116.35     0.4E-02    0.87289  0.5E-02     869.11   0.22
250   0.64    120.74     0.44E-02   0.88566  0.5E-02     785.40   0.21
250   0.65    122.97     0.44E-02   0.88947  0.55E-02    745.54   0.20
250   0.66    125.19     0.45E-02   0.89046  0.75E-02    706.92   0.19
250   0.68    129.63     0.46E-02   0.88659  0.8E-02     633.97   0.17
250   0.7     134.03     0.38E-02   0.87363  0.6E-02     567.47   0.15
250   0.80    154.09     0.36E-02   0.71045  0.6E-02     336.32   0.08

500    0.50   187.5      0.01       0.7485   0.011       3853.4  1.5
500    0.55   207.55     0.011      0.85644  0.013       3123.3  1.3
500    0.60   230.34     0.017      0.9638   0.023       2384.0  1 
500    0.62   240.17     0.013      1.0009   0.018       2100.2  1.1
500    0.64   250.29     0.014      1.0266   0.019       1830.8  1.0
500    0.65   255.45     0.012      1.0345   0.017       1701.1  0.9
500    0.66   260.68     0.014      1.0384   0.022       1579.1  0.95
500    0.68   271.07     0.013      1.0378   0.021       1353.3  0.8
500    0.70   281.35     0.011      1.0193   0.018       1158.7  0.7
500    0.80   326.84     0.01       0.7767   0.019       579.64  0.4

1000  0.50    377.69     0.032      0.77126  0.035       10655.0  8.4 
1000  0.55    419.18     0.04       0.89956  0.045       8441.7   8.7
1000  0.60    467.94     0.04       1.0473   0.05        6114.5   6.3
1000  0.62    489.42     0.04       1.1046   0.055       5206.8   6.5
1000  0.64    512.08     0.044      1.1511   0.062       4338.8   4.8  
1000  0.65    523.64     0.04       1.1712   0.06        3930.9   4.5
1000  0.66    535.31     0.04       1.1786   0.06        3558.4   4.2
1000  0.68    559.01     0.04       1.1809   0.06        2862.2   3.5 
1000  0.70    582.40     0.04       1.1509   0.08        2301.7   3.6
1000  0.80    681.80     0.03       0.8176   0.06        978.5    1.1 


# runs at ~/SAW/conf/runs_conf_hcap @ HSE HPC
# conformations only, code at 861c7d301c7

